sample_group	included_one_or_more_cohorts	n_samples	Kids_First_Biospecimen_IDs
Acute Lymphoblastic Leukemia___all_cohorts	TARGET_458_samples	458	TARGET-10-PANJPG-09A-01R,TARGET-10-PARHES-09A-01R,TARGET-10-PANEUH-09A-01R,TARGET-10-PARBVI-09A-02R,TARGET-15-SJMPAL043514-09A-01R,TARGET-15-SJMPAL043510-09A-01R,TARGET-15-SJMPAL041118-09A-01R,TARGET-15-SJMPAL041120-09A-01R,TARGET-15-SJMPAL041122-09A-01R,TARGET-15-SJMPAL042787-09A-01R,TARGET-15-SJMPAL042791-09A-01R,TARGET-15-SJMPAL042946-09A-01R,TARGET-15-SJMPAL042943-09A-01R,TARGET-10-PAPNNX-09A-02R,TARGET-15-SJMPAL042801-09A-01R,TARGET-15-SJMPAL042798-09A-01R,TARGET-15-SJMPAL042797-09A-01R,TARGET-15-SJMPAL042796-09A-01R,TARGET-15-SJMPAL042793-09A-01R,TARGET-15-SJMPAL042792-09A-01R,TARGET-15-SJMPAL042799-09A-01R,TARGET-10-PANLIC-09A-02R,TARGET-10-PANKAK-09A-02R,TARGET-15-SJMPAL044949-09A-01R,TARGET-15-SJMPAL044948-09A-01R,TARGET-15-SJMPAL043512-09B-01R,TARGET-15-SJMPAL043767-09B-01R,TARGET-15-SJMPAL040039-09A-01R,TARGET-15-SJMPAL040038-09A-01R,TARGET-15-SJMPAL040037-09A-01R,TARGET-10-PASYAJ-09A-01R,TARGET-10-PASYHN-09A-01R,TARGET-10-PATAXS-09A-01R,TARGET-10-PATDFE-09A-01R,TARGET-10-PATFRM-09A-01R,TARGET-10-PATITB-09A-01R,TARGET-10-PATLRZ-09A-01R,TARGET-10-PATWHB-09A-01R,TARGET-10-PATWIJ-09A-01R,TARGET-10-PATWXC-09A-01R,TARGET-10-PATWYL-09A-01R,TARGET-10-PAUBCB-09A-01R,TARGET-15-SJMPAL044950-09A-01R,TARGET-15-SJMPAL044953-09A-01R,TARGET-15-SJMPAL042794-09B-01R,TARGET-10-PASSHC-09A-01R,TARGET-15-SJMPAL046469-09A-01R,TARGET-10-PASXSI-09A-01R,TARGET-15-SJMPAL046468-09A-01R,TARGET-15-SJMPAL046467-09A-01R,TARGET-15-SJMPAL046466-09A-01R,TARGET-10-PASILW-09A-01R,TARGET-15-SJMPAL041119-09B-01R,TARGET-15-SJMPAL043768-09B-01R,TARGET-15-SJMPAL043770-09B-01R,TARGET-15-SJMPAL043771-09B-01R,TARGET-15-SJMPAL043775-09B-01R,TARGET-15-SJMPAL043774-09B-01R,TARGET-15-SJMPAL041117-09B-01R,TARGET-15-SJMPAL043505-09B-01R,TARGET-15-SJMPAL040025-09B-01R,TARGET-10-DCC002-09A-01R,TARGET-15-SJMPAL040459-09A-01R,TARGET-15-SJMPAL012421-09B-01R,TARGET-15-SJMPAL012419-09B-01R,TARGET-15-SJMPAL011914-09B-01R,TARGET-15-PARWPU-09B-01R,TARGET-10-PATCTI-09A-01R,TARGET-15-SJMPAL043508-09B-01R,TARGET-15-SJMPAL043511-09B-01R,TARGET-10-PASLAB-09A-01R,TARGET-10-PASLBB-09A-01R,TARGET-10-PASMHF-09A-01R,TARGET-10-PASMIC-09A-01R,TARGET-10-PASMNV-09A-01R,TARGET-10-PASNEH-09A-01R,TARGET-10-PASNTZ-09A-01R,TARGET-10-PASKXN-09A-01R,TARGET-10-PASPBU-09A-01R,TARGET-10-PASPPN-09A-01R,TARGET-10-PASRCV-09A-01R,TARGET-10-PASRMM-09A-01R,TARGET-10-PASSEF-09A-01R,TARGET-10-PASSPP-09A-01R,TARGET-10-PASSSR-09A-01R,TARGET-10-PASSZA-09A-01R,TARGET-10-PASINX-09A-01R,TARGET-10-PASIIY-09A-01R,TARGET-10-PASHXL-09A-01R,TARGET-10-PASHUP-09A-01R,TARGET-10-PASFKA-09A-01R,TARGET-10-PASFHR-09A-01R,TARGET-10-PARXLS-09A-01R,TARGET-10-PASKIC-09A-01R,TARGET-10-PASKSY-09A-01R,TARGET-10-PASPDS-09A-01R,TARGET-10-PARXVS-09A-01R,TARGET-10-PASJJR-09A-01R,TARGET-10-PASJLN-09A-01R,TARGET-10-PASJYI-09A-01R,TARGET-10-PASWSR-09A-01R,TARGET-10-PASWXB-09A-01R,TARGET-10-PASWXZ-09A-01R,TARGET-10-PASWZJ-09A-01R,TARGET-10-PASXIL-09A-01R,TARGET-10-PASXLT-09A-01R,TARGET-10-PASXLZ-09A-01R,TARGET-10-PASXMF-09A-01R,TARGET-10-PASXUC-09A-01R,TARGET-10-PASYCN-09A-01R,TARGET-10-PARWMF-09A-01R,TARGET-10-PARWID-09A-01R,TARGET-10-PAREGZ-09A-01R,TARGET-10-PARFDL-09A-01R,TARGET-10-PARFIH-09A-01R,TARGET-10-PARFPJ-09A-01R,TARGET-10-PARAYM-09A-01R,TARGET-10-PARIYD-09A-01R,TARGET-10-PARLJA-09A-01R,TARGET-10-PARKLK-09A-01R,TARGET-10-PARJXW-09A-01R,TARGET-10-PARJPL-09A-01R,TARGET-10-PASWNU-09A-01R,TARGET-10-PARJNX-09A-01R,TARGET-10-PARIZN-09A-01R,TARGET-10-PARHBT-09A-01R,TARGET-10-PARHBI-09A-01R,TARGET-10-PARGFL-09A-01R,TARGET-10-PARFXJ-09A-01R,TARGET-10-PARJAY-09A-01R,TARGET-10-PASJMK-09A-01R,TARGET-10-PASWFN-09A-01R,TARGET-10-PASVIN-09A-01R,TARGET-10-PASKAD-09A-01R,TARGET-10-PASKCL-09B-01R,TARGET-10-PASTDU-09A-01R,TARGET-10-PASTHE-09A-01R,TARGET-10-PASTLP-09A-01R,TARGET-10-PASTPT-09A-01R,TARGET-10-PATBRV-09A-01R,TARGET-10-PATBTX-09A-01R,TARGET-10-PATBYK-09A-01R,TARGET-10-PATCDM-09A-01R,TARGET-10-PATCDZ-09A-01R,TARGET-10-PATCKV-09A-01R,TARGET-10-PATCNI-09A-01R,TARGET-10-PATCUK-09A-01R,TARGET-10-PATCZN-09A-01R,TARGET-10-PATDBU-09A-01R,TARGET-10-PATDDZ-09A-01R,TARGET-10-PASUSV-09A-01R,TARGET-10-PASUIN-09A-01R,TARGET-10-PASUGC-09A-01R,TARGET-10-PASTXU-09A-01R,TARGET-10-PASXUU-09A-01R,TARGET-10-PATBGC-09A-01R,TARGET-10-PASVPZ-09A-01R,TARGET-10-PARWNW-09A-01R,TARGET-10-PATEFF-09A-01R,TARGET-10-PATEAK-09A-01R,TARGET-10-PATDMN-09A-01R,TARGET-10-PATDLG-09A-01R,TARGET-10-PATDKT-09A-01R,TARGET-10-PATDGZ-09A-01R,TARGET-10-PATBNT-09A-01R,TARGET-10-PARASZ-09A-01R,TARGET-10-PATGVX-09A-01R,TARGET-10-PATGWP-09A-01R,TARGET-10-PATGYH-09A-01R,TARGET-10-PATGZA-09A-01R,TARGET-10-PATHBG-09A-01R,TARGET-10-PATHFE-09A-01R,TARGET-10-PATSIL-09A-01R,TARGET-10-PAUBXP-09A-01R,TARGET-10-PAUCDY-09A-01R,TARGET-10-PATRAB-09A-01R,TARGET-10-PATRGV-09A-01R,TARGET-10-PATRHL-09A-01R,TARGET-10-PATRNA-09A-01R,TARGET-10-PATRUN-09A-01R,TARGET-10-PATRXL-09A-01R,TARGET-10-PATNIA-09A-01R,TARGET-10-PATPGE-09A-01R,TARGET-10-PAUCDC-09A-01R,TARGET-10-PATXNK-09A-01R,TARGET-10-PATGMP-09A-01R,TARGET-10-PATXAL-09A-01R,TARGET-10-PATWNL-09A-01R,TARGET-10-PATWJU-09A-01R,TARGET-10-PATTHR-09A-01R,TARGET-10-PATSLH-09A-01R,TARGET-10-PATSIY-09A-01R,TARGET-10-PATWYZ-09A-01R,TARGET-10-PATKGP-09A-01R,TARGET-10-PATGLV-09A-01R,TARGET-10-PATGBY-09A-01R,TARGET-10-PATYJK-09A-01R,TARGET-10-PATXSK-09A-01R,TARGET-10-PATXNR-09A-01R,TARGET-10-PAUAFN-09A-01R,TARGET-10-PAUAJA-09A-01R,TARGET-10-PAUAYB-09A-01R,TARGET-10-PAUAZV-09A-01R,TARGET-10-PAUBCT-09A-01R,TARGET-10-PAUBLL-09A-01R,TARGET-10-PAUBPY-09A-01R,TARGET-10-PAUBRD-09A-01R,TARGET-10-PAUBTC-09A-01R,TARGET-10-PATHJF-09A-01R,TARGET-10-PATHRF-09A-01R,TARGET-10-PATHWV-09A-01R,TARGET-10-PATIBE-09A-01R,TARGET-10-PATFYZ-09A-01R,TARGET-10-PATFWF-09A-01R,TARGET-10-PATFVG-09A-01R,TARGET-10-PATFJP-09A-01R,TARGET-10-PATFJD-09A-01R,TARGET-10-PATEYS-09A-01R,TARGET-10-PATGKE-09A-01R,TARGET-10-PATEVL-09A-01R,TARGET-10-PATYCH-09A-01R,TARGET-10-PATJZK-09A-01R,TARGET-10-PAUACG-09A-01R,TARGET-10-PATJLT-09A-01R,TARGET-10-PATJBC-09A-01R,TARGET-10-PATITY-09A-01R,TARGET-10-PATHGY-09A-01R,TARGET-10-PANRWG-09A-01R,TARGET-10-PATKVD-09A-01R,TARGET-10-PATKYI-09A-01R,TARGET-10-PATKWU-09A-01R,TARGET-10-PATLGU-09A-01R,TARGET-10-PATLHH-09A-01R,TARGET-10-PATLHS-09A-01R,TARGET-10-PATLNS-09A-01R,TARGET-10-PATLNZ-09A-01R,TARGET-10-PATMAF-09A-01R,TARGET-10-PATMRE-09A-01R,TARGET-10-PATMTV-09A-01R,TARGET-10-PATMVH-09A-01R,TARGET-10-PATMYZ-09A-01R,TARGET-10-PATNAM-09A-01R,TARGET-10-PATPDA-09A-01R,TARGET-10-PAPFWH-09A-01R,TARGET-10-PARWDM-09B-01R,TARGET-10-PASYIS-09A-01R,TARGET-10-PARWLP-09A-01R,TARGET-10-PASHNK-09A-01R,TARGET-10-PASFLK-09A-01R,TARGET-10-PARMMV-09A-01R,TARGET-10-PARMWH-09A-01R,TARGET-10-PARNEH-09A-01R,TARGET-10-PARNJB-09A-01R,TARGET-10-PARNMV-09A-01R,TARGET-10-PARNSP-09A-01R,TARGET-10-PARNXJ-09A-01R,TARGET-10-PARPET-09A-01R,TARGET-10-PARPHB-09A-01R,TARGET-10-PARPUL-09A-01R,TARGET-10-PARPYJ-09A-01R,TARGET-10-PAPHJF-09A-01R,TARGET-10-PANSIA-09A-02R,TARGET-10-PAPESW-09A-02R,TARGET-10-PANXDR-09A-01R,TARGET-10-PATENL-09A-01R,TARGET-10-PATBDK-09A-01R,TARGET-10-PATEMI-09A-01R,TARGET-10-PASHDV-09A-01R,TARGET-10-PARTBP-09A-01R,TARGET-10-PARSNX-09A-01R,TARGET-10-PARSJG-09A-01R,TARGET-10-PARSET-09A-01R,TARGET-10-PARRKK-09A-01R,TARGET-10-PATEIT-09A-01R,TARGET-10-PATBDJ-09A-01R,TARGET-10-PATALJ-09A-01R,TARGET-10-PARLST-09A-01R,TARGET-10-PARMFF-09A-01R,TARGET-10-PARVMR-09A-01R,TARGET-10-PARVHY-09A-01R,TARGET-10-PARVEI-09A-01R,TARGET-10-PARUKW-09A-01R,TARGET-10-PARUEU-09A-01R,TARGET-10-PATAYT-09A-01R,TARGET-10-PARTPW-09A-01R,TARGET-10-PASZIY-09A-01R,TARGET-10-PASZEW-09A-01R,TARGET-10-PASYSJ-09A-01R,TARGET-10-PARMKK-09A-01R,TARGET-10-PARMIH-09A-01R,TARGET-10-PARTLY-09A-01R,TARGET-10-PAPGFP-09A-02R,TARGET-10-PANKGK-09A-01R,TARGET-10-PANSBR-09A-01R,TARGET-10-PANSPW-09A-01R,TARGET-10-PAPEJN-09A-01R,TARGET-10-PAPTLM-09A-01R,TARGET-10-PASUBW-09A-01R,TARGET-10-PAMXHJ-09A-01R,TARGET-10-PAPAGK-09A-01R,TARGET-10-PATYMP-09A-01R,TARGET-10-PANWFB-09A-01R,TARGET-10-PAPZNK-09A-01R,TARGET-10-PANYZE-09A-01R,TARGET-10-PAPHGD-09A-01R,TARGET-10-PANTSM-09A-01R,TARGET-10-PANJWJ-09A-01R,TARGET-10-PAPZST-09A-01R,TARGET-10-PANYGB-09A-01R,TARGET-10-PARFLV-09A-01R,TARGET-10-PANSUL-09A-01R,TARGET-10-PAPDUF-09A-01R,TARGET-10-PANWHW-09A-01R,TARGET-10-PATZSL-09A-01R,TARGET-10-PATZFF-09A-01R,TARGET-10-PATYWV-09A-01R,TARGET-10-PATZVD-09A-01R,TARGET-10-PAPGYC-09A-01R,TARGET-10-PAPEFH-09A-01R,TARGET-10-PANUUF-09A-02R,TARGET-10-PAMXSP-09A-01R,TARGET-10-PAPBZK-09A-01R,TARGET-10-PANPJI-09A-01R,TARGET-10-PAPVTA-09A-01R,TARGET-10-PATZYC-09A-01R,TARGET-10-PAPDKJ-09A-01R,TARGET-10-PANWYH-09A-02R,TARGET-10-PAPJHB-09A-01R,TARGET-10-PAPSPN-09A-01R,TARGET-10-PANSHK-09A-01R,TARGET-10-PASHUI-09A-02R,TARGET-10-PARXMC-09A-01R,TARGET-10-PARMSP-09A-01R,TARGET-10-PAPLUG-09A-01R,TARGET-10-PAPLTZ-09A-01R,TARGET-10-PAPJIB-09A-01R,TARGET-10-PARVWD-09A-01R,TARGET-10-PAPMVB-09A-02R,TARGET-10-PAPHZT-09A-01R,TARGET-10-PARPNM-09A-01R,TARGET-10-PANKMB-09A-02R,TARGET-10-PANYEJ-09A-01R,TARGET-10-PANRYM-09A-01R,TARGET-10-PASKAY-09A-01R,TARGET-10-PANWHJ-09A-01R,TARGET-10-PAPKNC-09A-01R,TARGET-10-PAPRFE-09A-01R,TARGET-10-PARARJ-09A-01R,TARGET-10-PANUHA-09A-01R,TARGET-10-PAPAIZ-09A-01R,TARGET-10-PARUGP-09A-01R,TARGET-10-PAPBCI-09A-01R,TARGET-10-PANSDA-09A-02R,TARGET-10-PAPBFN-09A-01R,TARGET-10-PARJSR-09A-01R,TARGET-10-PAPDUV-09A-02R,TARGET-10-PAPRCS-09A-01R,TARGET-10-PAPIRZ-09A-01R,TARGET-10-PAPBSY-09A-01R,TARGET-10-PARAKF-09A-01R,TARGET-10-PAPECF-09A-01R,TARGET-10-PANWVW-09A-01R,TARGET-10-PANSXG-09A-02R,TARGET-10-PAMDRM-09A-01R,TARGET-10-PALJDL-09A-01R,TARGET-10-PAKYEP-03A-01R,TARGET-10-PAKVKK-03A-01R,TARGET-10-PAKKXB-03A-01R,TARGET-10-PAKKCA-03A-01R,TARGET-10-PAKTAL-03A-01R,TARGET-10-PARACA-09A-01R,TARGET-10-PAPJXI-09A-01R,TARGET-15-SJMPAL011912-09A-01R,TARGET-15-SJMPAL011913-09A-01R,TARGET-15-SJMPAL011915-09A-01R,TARGET-15-SJMPAL012417-09A-01R,TARGET-15-SJMPAL012418-09A-01R,TARGET-15-SJMPAL012420-09A-01R,TARGET-15-SJMPAL012422-09A-01R,TARGET-15-SJMPAL012425-09A-01R,TARGET-15-SJMPAL016340-09A-01R,TARGET-15-SJMPAL016342-09A-01R,TARGET-15-SJMPAL016344-09A-01R,TARGET-10-PARWRJ-09B-01R,TARGET-10-PARYAJ-09B-01R,TARGET-10-PASXFY-09B-01R,TARGET-10-PANTTZ-09B-01R,TARGET-10-PAPAXK-09B-01R,TARGET-10-PARLAF-09A-01R,TARGET-10-PASIZE-09B-01R,TARGET-10-PARZYX-09B-01R,TARGET-10-PARUNW-09B-01R,TARGET-10-PASTYT-09B-01R,TARGET-10-PARTJL-09A-02R,TARGET-10-PARFTR-09A-01R,TARGET-10-PANWEZ-09B-01R,TARGET-10-PASREU-09B-01R,TARGET-15-SJMPAL016343-09A-01R,TARGET-10-PANSFD-09A-01R,TARGET-10-PANNGL-09A-01R,TARGET-10-PANEHF-09A-01R,TARGET-10-PARMRF-09A-01R,TARGET-10-PARNBN-09A-01R,TARGET-10-PASKTG-09A-01R,TARGET-15-SJMPAL046470-09A-01R,TARGET-15-SJMPAL046472-09A-01R,TARGET-15-SJMPAL017973-09A-01R,TARGET-15-SJMPAL017977-09A-01R,TARGET-15-SJMPAL017978-09A-01R,TARGET-15-SJMPAL022667-09A-01R,TARGET-15-SJMPAL016447-09A-01R,TARGET-15-SJMPAL046471-09A-01R,TARGET-15-SJMPAL016448-09A-01R,TARGET-15-SJMPAL040034-09A-01R,TARGET-15-PAREAT-09B-01R,TARGET-15-SJMPAL040033-09A-01R,TARGET-15-SJMPAL040030-09A-01R,TARGET-15-SJMPAL040027-09A-01R,TARGET-15-SJMPAL040026-09A-01R,TARGET-15-SJMPAL040024-09A-01R,TARGET-15-SJMPAL040031-09A-01R,TARGET-10-PARSZH-09A-01R,TARGET-10-PAPCUR-09A-01R,TARGET-10-PAPEWB-09A-01R,TARGET-10-PARPRW-09A-01R,TARGET-10-PATEVE-09B-01R,TARGET-10-PASNJI-09B-01R,TARGET-10-PARUFL-09B-01R,TARGET-10-PASMGZ-09B-01R,TARGET-10-PAPFXN-09A-01R,TARGET-10-PARAPE-09B-01R,TARGET-10-PASEVJ-09B-01R,TARGET-10-PAPTAT-09B-01R,TARGET-10-PARBGL-09B-01R,TARGET-10-PASXZH-09B-01R,TARGET-10-PAPKNJ-09B-01R,TARGET-10-PARXCD-09B-01R,TARGET-10-PARSLL-09B-01R,TARGET-10-PAPHYN-09B-01R,TARGET-10-PAPRMM-09B-01R,TARGET-10-PASDYM-09B-01R,TARGET-10-PAPIJM-09A-01R,TARGET-10-PAPJHR-09A-01R,TARGET-10-PARJZZ-09A-01R,TARGET-10-PAPNMY-09A-01R,TARGET-10-PAPHMH-09A-02R,TARGET-10-PANATY-09B-01R,TARGET-10-PATAAH-09B-01R,TARGET-10-PASTSR-09B-01R,TARGET-10-PATCJJ-09B-01R,TARGET-10-PARTKL-09A-02R,TARGET-10-PARDWN-09B-01R,TARGET-10-PARJLA-09B-01R,TARGET-10-PANDBX-09B-01R,TARGET-10-PASILP-09B-01R,TARGET-10-PARUAT-09B-01R,TARGET-10-PANZPJ-09A-02R,TARGET-10-PAKHZT-03A-01R
